WKT,id,title,type,description,location,accessibility,opening_hours,toilet_image
POINT (-8.8825973 51.6241868),320,Scally 's SuperValu Clonakilty,Public Toilet,Restroom facilities at Scally 's SuperValu Clonakilty.,Within Scally 's SuperValu.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.6439989 52.1359682),321,O'Connell Funeral Directors,Public Toilet,Restroom facilities at O'Connell Funeral Directors.,Nearby.,Standard.,8:30 AM - 5:30 PM,toilet_image.png
POINT (-6.352405699999999 53.7143349),322,Drogheda Town Centre,Public Toilet,Restroom facilities at Drogheda Town Centre.,Within Drogheda Town Centre.,Standard.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-6.091678899999999 53.5187664),323,Public Toilet,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-9.668521300000002 53.11948940000001),324,Public Toilet,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-9.750711899999999 53.1305311),325,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,7:30 AM - 9:00 PM,toilet_image.png
POINT (-8.986245000000002 53.17070500000001),326,Traught Beach,Public Toilet,Restroom facilities at Traught Beach.,Near the beach.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-9.629910899999999 53.2490686),327,Coral Strand,Public Toilet,Restroom facilities at Coral Strand.,Near Coral Strand.,Standard.,10:00 AM - 7:00 PM,toilet_image.png
POINT (-7.677598300000001 52.35773289999999),328,Mulcahy Park,Public Toilet,Restroom facilities at Mulcahy Park.,Within Mulcahy Park.,Standard.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-6.661574799999999 53.2401182),329,Tesco Extra,Public Toilet,Restroom facilities at Tesco Extra.,Within Tesco Extra.,Standard.,7:00 AM - 11:00 PM,toilet_image.png
POINT (-9.1739954 52.7390936),330,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.5489458 52.4811972),331,Centra Bruff,Public Toilet,Restroom facilities at Centra Bruff.,Within Centra Bruff.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-6.352548899999999 53.71172809999999),332,Spar,Public Toilet,Restroom facilities at Spar.,Within Spar.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.2380565 53.6783832),333,Public Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.207228499999998 53.3242558),334,Circle K Martello,Public Toilet,Restroom facilities at Circle K Martello.,Nearby.,Standard.,6:00 AM - 11:00 PM,toilet_image.png
POINT (-6.2601552 53.3486874),335,Eason,Public Toilet,Restroom facilities at Eason.,Within Eason.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.375045599999999 53.28523999999999),336,Circle K The Square,Public Toilet,Restroom facilities at Circle K The Square.,Nearby.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-9.266294499999999 51.5490611),337,Field's SuperValu Skibbereen,Public Toilet,Restroom facilities at Field's SuperValu Skibbereen.,Within Field's SuperValu.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-9.5204758 52.0610344),338,Knockreer Playground,Public Toilet,Restroom facilities at Knockreer Playground.,Near the playground.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.155648999999999 53.3854464),339,Centra Greendale,Public Toilet,Restroom facilities at Centra Greendale.,Within Centra Greendale.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.216676100000001 53.2785243),340,Dunnes Stores - Beacon Court,Public Toilet,Restroom facilities at Dunnes Stores - Beacon Court.,Nearby.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.927895 52.835304),341,Carlow Shopping Centre Toilets,Public Toilet,Restroom facilities at Carlow Shopping Centre.,Within the shopping centre.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-10.194886 53.969635),342,Keem Beach Public Toilets,Public Toilet,Restroom facilities at Keem Beach.,Near the beach.,Standard.,10:00 AM - 7:00 PM,toilet_image.png
POINT (-6.239280099999999 53.41183179999999),343,Applegreen,Public Toilet,Restroom facilities at Applegreen.,Nearby.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-6.1176802 53.2221587),344,Shanganagh Cemetery Toilets,Public Toilet,Restroom facilities at Shanganagh Cemetery.,Nearby the park and recycling centre.,Limited access.,9:00 AM - 5:00 PM,toilet_image.png
POINT (-6.2633135 53.3497637),345,Dunnes Stores - Henry Street,Public Toilet,Restroom facilities at Dunnes Stores - Henry Street.,Nearby.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-6.2181239 53.376222),346,Circle K Maypark,Public Toilet,Restroom facilities at Circle K Maypark.,Within Circle K Maypark.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-6.191506099999999 53.35865099999999),347,Circle K (bull),Public Toilet,Restroom facilities at Circle K (bull).,Within Circle K (bull).,Standard.,6:00 AM - 11:00 PM,toilet_image.png
POINT (-6.213117899999999 53.3541566),348,Circle K Dublin Port,Public Toilet,Restroom facilities at Circle K Dublin Port.,Within Circle K Dublin Port.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.214434199999999 53.3840467),349,Maxol Artane,Public Toilet,Restroom facilities at Maxol Artane.,Within Maxol Artane.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-7.608888899999999 52.0972222),350,Centra Coolagh,Public Toilet,Restroom facilities at Centra Coolagh.,Within Centra Coolagh.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.961017 52.9962902),351,Conlans Family Centra,Public Toilet,Restroom facilities at Conlans Family Centra.,Within Conlans Family Centra.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-6.988286999999999 53.00167330000001),352,Applegreen,Public Toilet,Restroom facilities at Applegreen.,Within Applegreen.,Standard.,6:00 AM - 12:00 AM,toilet_image.png
POINT (-6.967412199999999 52.9943226),353,Circle K Athy Dublin Road,Public Toilet,Restroom facilities at Circle K Athy Dublin Road.,Within Circle K Athy Dublin Road.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.3621414 52.38817719999999),354,Curracloe Beach,Public Toilet,Restroom facilities at Curracloe Beach.,Near Curracloe Beach.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.359216099999998 52.399807),355,Car Park,Public Toilet,Restroom facilities at Car Park.,Nearby.,Standard.,7:00 AM - 8:00 PM,toilet_image.png
POINT (-9.2624797 51.5534774),356,Norton House Car Park,Public Toilet,Restroom facilities at Norton House Car Park.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-6.291937000000001 53.33137300000001),357,Dolphin's Barn Library,Public Toilet,Restroom facilities at Dolphin's Barn Library.,Within Dolphin's Barn Library.,Standard.,"1:00 PM - 8:00 PM (Mon), 10:00 AM - 4:00 PM (Tue-Sat)",toilet_image.png
POINT (-6.968998 53.917844),358,Tesco Bailieborough Toilets,Public Toilet,Restroom facilities at Tesco Bailieborough.,Within Tesco Bailieborough.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-6.256538300000001 53.3432286),359,Trinity Arts block. Downstairs from the Perch cafe,Public Toilet,Restroom facilities at Trinity Arts block.,Near the Perch cafe.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-7.342356 53.515231),360,Centra Lynn Road,Public Toilet,Restroom facilities at Centra Lynn Road.,Within Centra Lynn Road.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-8.582559 51.645155),361,Garretstown Strand,Public Toilet,Restroom facilities at Garretstown Strand.,Near Garretstown Strand.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.563956 51.640195),362,Toilets,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-9.2170921 53.6272855),363,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.2256636 53.32317190000001),364,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-8.0806234 53.94500230000001),365,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,7:00 AM - 11:00 PM,toilet_image.png
POINT (-8.953745000000001 53.939281),366,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.998656900000002 53.7251316),367,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-6.1593896 53.2974482),368,Seapoint Beach,Public Toilet,Restroom facilities at Seapoint Beach.,Near Seapoint Beach.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-8.560746199999997 53.18610409999999),369,The Long Point,Public Toilet,Restroom facilities at The Long Point.,Near The Long Point.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.179874999999999 53.3019361),370,Blackrock Shopping Centre,Public Toilet,Restroom facilities at Blackrock Shopping Centre.,Bottom floor under the stairs.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-7.7020244 52.35704680000001),371,Dunnes Stores,Public Toilet,Restroom facilities at Dunnes Stores.,Within Dunnes Stores.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-6.950218899999999 52.3895001),372,New Ross Park (Pearse Park),Public Toilet,Restroom facilities at New Ross Park (Pearse Park).,Near New Ross Park (Pearse Park).,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-6.197899500000001 53.2585585),373,Leopardstown Valley Shopping Centre,Public Toilet,Restroom facilities at Leopardstown Valley Shopping Centre.,Within Leopardstown Valley Shopping Centre.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.302879 53.4037122),374,Charlestown Shopping Centre Toilets,Public Toilet,Restroom facilities at Charlestown Shopping Centre.,Within Charlestown Shopping Centre.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.2661904 53.38206929999999),375,Circle K Nevin,Public Toilet,Restroom facilities at Circle K Nevin.,Within Circle K Nevin.,Standard.,6:00 AM - 10:00 PM,toilet_image.png
POINT (-8.331370908709985 51.84961197106684),376,Public Toilet,Public Toilet,Coin-operated public toilet.,Nearby.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.2680445 53.3209935),377,Circle K Grosvenor (Rathmines),Public Toilet,Restroom facilities at Circle K Grosvenor (Rathmines).,Within Circle K Grosvenor (Rathmines).,Standard.,7:00 AM - 11:00 PM,toilet_image.png
POINT (-9.0483711 53.2796671),378,Galway Shopping Centre Toilets,Public Toilet,Restroom facilities at Galway Shopping Centre.,Within Galway Shopping Centre.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-9.0460765 53.2805894),379,Galway Shopping Centre Toilets,Public Toilet,Restroom facilities at Galway Shopping Centre.,Within Galway Shopping Centre.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.729919099999998 51.74591309999999),380,ALDI,Public Toilet,Restroom facilities at ALDI.,Within ALDI.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.379635299999999 53.35030740000001),381,Moriarty's SuperValu Palmerstown,Public Toilet,Restroom facilities at Moriarty's SuperValu Palmerstown.,Within Moriarty's SuperValu Palmerstown.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-8.708749 52.597613),382,Centra Patrickswell,Public Toilet,Restroom facilities at Centra Patrickswell.,Within Centra Patrickswell.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.6243483 52.6589727),383,Limerick Bus Station Toilets,Public Toilet,Restroom facilities at Limerick Bus Station.,Within Limerick Bus Station.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-7.2512311 52.65045689999999),384,Toilet,Public Toilet,Basic public restroom facilities.,Nearby.,Standard.,6:00 AM - 9:00 PM,toilet_image.png
POINT (-6.327184400000001 53.3356016),385,Applegreen,Public Toilet,Restroom facilities at Applegreen.,Within Applegreen.,Standard.,7:00 AM - 11:00 PM,toilet_image.png
POINT (-8.6280126 52.6591824),386,Public Toilet,Public Toilet,Coin-operated public toilet.,Nearby.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-9.3195219 51.8387),387,Gougane Barra Toilets,Public Toilet,Restroom facilities at Gougane Barra.,Near Gougane Barra.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.6600095 53.6436901),388,Johnstown Shopping Centre Toilets,Public Toilet,Restroom facilities at Johnstown Shopping Centre.,Within Johnstown Shopping Centre.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-6.651369099999998 52.65546939999999),389,Bunclody Public Toilets,Public Toilet,Restroom facilities at Bunclody.,Near Bunclody.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.4949699 52.5899444),390,Applegreen,Public Toilet,Restroom facilities at Applegreen.,Within Applegreen.,Standard.,6:00 AM - 12:00 AM,toilet_image.png
POINT (-8.606826200000002 51.8914337),391,Regional Park Ballincollig Toilet,Public Toilet,Restroom facilities at Regional Park Ballincollig.,Near Regional Park Ballincollig.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-6.459403000000001 53.35300729999999),392,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-7.466447400000003 53.2664061),393,Tesco Extra,Public Toilet,Restroom facilities at Tesco Extra.,Within Tesco Extra.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-7.497010299999999 53.2914426),394,Circle K Tullamore,Public Toilet,Restroom facilities at Circle K Tullamore.,Within Circle K Tullamore.,Standard.,6:00 AM - 11:00 PM,toilet_image.png
POINT (-6.798187400000002 53.17810770000001),395,WhiteWater Shopping Centre,Public Toilet,Restroom facilities at WhiteWater Shopping Centre.,Within WhiteWater Shopping Centre.,Standard.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-9.832074 52.3385552),396,Banna Beach Toilets,Public Toilet,Restroom facilities at Banna Beach.,Near Banna Beach.,Standard.,7:00 AM - 8:00 PM,toilet_image.png
POINT (-9.180451 53.338798),397,SuperValu Moycullen,Public Toilet,Restroom facilities at SuperValu Moycullen.,Within SuperValu Moycullen.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.733160000000001 52.80449970000001),398,Flynns Foodhall & Supermac's,Public Toilet,Restroom facilities at Flynns Foodhall & Supermac's.,Within Flynns Foodhall & Supermac's.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.111205000000002 54.65054600000001),399,SuperValu,Public Toilet,Restroom facilities at SuperValu.,Within SuperValu.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-8.661664000000002 52.669838),400,Dunnes Stores,Public Toilet,Restroom facilities at Dunnes Stores.,Within Dunnes Stores.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.975269899999999 52.8388824),401,Ennis,Public Toilet,Restroom facilities in Ennis.,Within Ennis.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.4400516 52.8075065),402,Public Toilets,Public Toilet,Coin-operated public toilet.,Nearby.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.1890651 53.3960894),403,Lidl,Public Toilet,Restroom facilities at Lidl.,Within Lidl.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.2135875 53.3957994),404,Northside Shopping Centre Toilets,Public Toilet,Restroom facilities at Northside Shopping Centre.,Within Northside Shopping Centre.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.6617588 52.66974800000001),405,Jetland Shopping Centre,Public Toilet,Restroom facilities at Jetland Shopping Centre.,Within Jetland Shopping Centre.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-7.796345100000002 53.72718),406,St Mel's Cathedral,Public Toilet,Restroom facilities at St Mel's Cathedral.,Within St Mel's Cathedral.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-9.126871 53.2512899),407,Silverstrand Beach,Public Toilet,Restroom facilities at Silverstrand Beach.,Near Silverstrand Beach.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-8.691281499999997 52.42717380000001),408,O'Rourkes Cross Petrol Station,Public Toilet,Restroom facilities at O'Rourkes Cross Petrol Station.,Within O'Rourkes Cross Petrol Station.,Standard.,6:00 AM - 10:00 PM,toilet_image.png
POINT (-8.6823555 52.36057270000001),409,Lees Centra/Applegreen,Public Toilet,Restroom facilities at Lees Centra/Applegreen.,Within Lees Centra/Applegreen.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.710308 52.59669179999999),410,Circle K Patrickswell McDermott's,Public Toilet,Restroom facilities at Circle K Patrickswell McDermott's.,Within Circle K Patrickswell McDermott's.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-7.803469199999999 53.7241261),411,Davis's SuperValu Longford,Public Toilet,Restroom facilities at Davis's SuperValu Longford.,Within Davis's SuperValu Longford.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-7.796098599999999 53.72430749999999),412,Longford Train Station,Public Toilet,Restroom facilities at Longford Train Station.,Within Longford Train Station.,Standard.,6:00 AM - 10:00 PM,toilet_image.png
POINT (-9.4845839 52.6380083),413,Public Toilets,Public Toilet,Coin-operated public toilet.,Nearby.,Standard.,7:00 AM - 8:00 PM,toilet_image.png
POINT (-7.150440799999998 53.76887909999999),414,Top Oil Oldcastle Service Station,Public Toilet,Restroom facilities at Top Oil Oldcastle Service Station.,Within Top Oil Oldcastle Service Station.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.9279803 52.3906366),415,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Upstairs at Tesco Superstore.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-8.4967889 51.8955232),416,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-6.410870999999999 53.40629),417,Maxol M3 Mulhuddart Services,Public Toilet,Restroom facilities at Maxol M3 Mulhuddart Services.,Within Maxol M3 Mulhuddart Services.,Standard.,7:00 AM - 11:00 PM,toilet_image.png
POINT (-7.6915942 52.3618263),418,Tesco Extra,Public Toilet,Restroom facilities at Tesco Extra.,Within Tesco Extra.,Standard.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-6.910636900000001 52.1342391),419,Slade Harbour,Public Toilet,Restroom facilities at Slade Harbour.,Within Slade Harbour.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-8.854755100000002 53.51563460000001),420,Tuam Shopping Centre,Public Toilet,Restroom facilities at Tuam Shopping Centre.,Within Tuam Shopping Centre.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-9.047027000000002 52.44968000000001),421,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-9.903721099999999 53.76182129999999),422,Roonagh Pier @ Wild Atlantic Way,Public Toilet,Restroom facilities at Roonagh Pier @ Wild Atlantic Way.,Near Roonagh Pier.,Standard.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-7.543637999999999 52.05445520000001),423,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.3858337 52.2725281),424,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-6.79328 53.919073),425,Dún na Rí Forest Park Toilets,Public Toilet,Restroom facilities at Dún na Rí Forest Park.,Within Dún na Rí Forest Park.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-6.5948723 53.3821862),426,Lyreen Manor Shopping Centre Toilets,Public Toilet,Restroom facilities at Lyreen Manor Shopping Centre.,Within Lyreen Manor Shopping Centre.,Standard.,9:00 AM - 8:00 PM,toilet_image.png
POINT (-8.982889300000002 52.8451625),427,Public toilet,Public Toilet,Coin-operated public toilet.,Nearby.,Standard.,7:00 AM - 8:00 PM,toilet_image.png
POINT (-6.3483215 52.1972262),428,Carne Public Toilets,Public Toilet,Restroom facilities at Carne.,Near Carne.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.273548 53.273972),429,Marlay Park Toilets,Public Toilet,Restroom facilities at Marlay Park.,Within Marlay Park.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.416333 53.311536),430,Corkagh Park Toilets,Public Toilet,Restroom facilities at Corkagh Park.,Within Corkagh Park.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-8.521569 51.7047222),431,Public Toilet,Public Toilet,Coin-operated public toilet.,Nearby.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-9.0859976 53.25776),432,Ladies Beach Toilets,Public Toilet,Restroom facilities at Ladies Beach.,Near Ladies Beach.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.541020199999999 53.5132413),433,Lidl Dunshaughlin,Public Toilet,Restroom facilities at Lidl Dunshaughlin.,Within Lidl Dunshaughlin.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
POINT (-6.5883181 53.38007750000001),434,Shoda Market Cafe,Public Toilet,Restroom facilities at Shoda Market Cafe.,Within Shoda Market Cafe.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.303389 53.2989104),435,MACE Templeogue,Public Toilet,Restroom facilities at MACE Templeogue.,Within MACE Templeogue.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.2320167 53.3321808),436,Avoca Ballsbridge Food Market,Public Toilet,Restroom facilities at Avoca Ballsbridge Food Market.,Within Avoca Ballsbridge Food Market.,Standard.,10:00 AM - 7:00 PM,toilet_image.png
POINT (-7.909369399999999 53.0901066),437,Tesco Superstore,Public Toilet,Restroom facilities at Tesco Superstore.,Within Tesco Superstore.,Standard.,8:00 AM - 10:00 PM,toilet_image.png
POINT (-6.1054386 53.5853667),438,Public Toilet,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-8.464598799999997 51.87872280000001),439,Tramore Valley Park,Public Toilet,Restroom facilities at Tramore Valley Park.,Within Tramore Valley Park.,Standard.,7:00 AM - 10:00 PM,toilet_image.png
POINT (-6.949504999999999 54.24152979999999),440,Bogue Londis,Public Toilet,Restroom facilities at Bogue Londis.,Within Bogue Londis.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.958794999999999 54.25888699999999),441,Maxol,Public Toilet,Restroom facilities at Maxol.,Within Maxol.,Standard.,9:00 AM - 9:00 PM,toilet_image.png
POINT (-6.9597913 54.2636809),442,Circle K Mullamurphy,Public Toilet,Restroom facilities at Circle K Mullamurphy.,Within Circle K Mullamurphy.,Standard.,6:00 AM - 10:00 PM,toilet_image.png
POINT (-10.0154791 51.8050524),443,Staigue Stone Fort,Public Toilet,Restroom facilities at Staigue Stone Fort.,Near Staigue Stone Fort.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-10.1047638 52.0244318),444,Public Toilet,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 9:00 PM,toilet_image.png
POINT (-6.310946800000001 53.3763908),445,Aldi,Public Toilet,Restroom facilities at Aldi.,Within Aldi.,Standard.,8:00 AM - 8:00 PM,toilet_image.png
POINT (-6.950878599999999 55.0502151),446,Limavady public toilets,Public Toilet,Restroom facilities at Limavady public toilets.,Within Limavady.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-6.718458199999999 55.1878015),447,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-7.472362700000001 54.7845804),448,Public toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-7.2333789 54.7177471),449,Gortin public toilets.,Public Toilet,Restroom facilities at Gortin public toilets.,Within Gortin.,Standard.,10:00 AM - 5:00 PM,toilet_image.png
POINT (-7.300831100000001 54.598949),450,Omagh public toilets,Public Toilet,Restroom facilities at Omagh public toilets.,Within Omagh.,Standard.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-6.0592235 54.17945899999999),451,Public Toilet,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-5.902500600000002 54.66398470000001),452,Public Toilets Hazelbank Park,Public Toilet,Restroom facilities at Hazelbank Park.,Within Hazelbank Park.,Standard.,10:00 AM - 7:00 PM,toilet_image.png
POINT (-6.3725307 54.29262569999999),453,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-7.638689699999999 54.34616479999999),454,Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-5.9560701 54.5747088),455,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-5.9207893 54.5823946),456,Ormeau Park Public Toilets,Public Toilet,Restroom facilities at Ormeau Park.,Within Ormeau Park.,Standard.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-5.925247700000001 54.5996506),457,Belfast City Council Public Toilet,Public Toilet,Restroom facilities at Belfast City Council.,Within Belfast City Council.,Standard.,9:00 AM - 5:00 PM,toilet_image.png
POINT (-5.926696600000001 54.6095936),458,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-6.2422933 55.20816379999999),459,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,10:00 AM - 5:00 PM,toilet_image.png
POINT (-7.132389099999997 54.42822539999999),460,Augher Public Toilets,Public Toilet,Restroom facilities at Augher.,Within Augher.,Standard.,9:00 AM - 6:00 PM,toilet_image.png
POINT (-7.459382 54.37742309999999),461,Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 7:00 PM,toilet_image.png
POINT (-7.405577699999999 54.31482399999999),462,Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,9:00 AM - 5:00 PM,toilet_image.png
POINT (-7.1695802 54.23853399999999),463,Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,10:00 AM - 6:00 PM,toilet_image.png
POINT (-7.402294099999998 54.15188039999999),464,Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,8:00 AM - 6:00 PM,toilet_image.png
POINT (-7.568586799999999 54.1934681),465,Public Toilets,Public Toilet,Restroom facilities at public toilets.,Nearby.,Standard.,9:00 AM - 7:00 PM,toilet_image.png
POINT (-6.3558995 54.8887301),466,WC,Public Toilet,Restroom facilities at WC.,Nearby.,Standard.,10:00 AM - 5:00 PM,toilet_image.png
POINT (-7.945201399999998 52.885143),467,Barack Obama Plaza,Public Toilet,Restroom facilities at Barack Obama Plaza.,Within Barack Obama Plaza.,Standard.,7:00 AM - 9:00 PM,toilet_image.png
